,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,shares_m,market_cap_m
296,UDLI,UDL International Limited,18.91,18.91,-0.20,-1.05%,0.01,0.0,"127,077",35.0,664.0
297,UDPL,United Distributors Pakistan Limited,119.45,119.45,-0.44,-0.37%,0.03,0.0,"41,012",35.0,4213.0
298,UNITY,Unity Foods Limited,10.91,10.91,0.09,0.83%,0.1,0.0,"6,252,818",1194.0,13027.0
299,UPFL,Unilever Pakistan Foods Limited,"25,699.00","25,699.00",94.80,0.37%,1.23,0.0,31,6.0,163701.0
300,WAFI,Wafi Energy Pakistan Limited,193.86,193.86,0.86,0.45%,0.31,0.0,"110,663",214.0,41491.0
301,WAHDAT,Wahdat Poultry Farm Limited,19.10,19.10,0.51,2.74%,0.05,0.0,"4,801,779",335.0,6403.0
302,WAHN,Wah Noble Chemicals Limited,292.03,292.03,0.48,0.17%,0.02,0.0,"3,250",9.0,2628.0
303,WASL,Wasl Mobility Modaraba,5.55,5.55,0.15,2.78%,0.01,0.0,"547,259",161.0,892.0
304,WAVES,Waves Corporation Limited,10.91,10.91,0.21,1.96%,0.02,0.0,"1,677,105",281.0,3070.0
305,ZAHID,Zahidjee Textile Mills Limited,66.18,66.18,0.18,0.27%,0.1,0.0,"13,013",191.0,12668.0
306,ZAL,Zarea Limited,45.42,45.42,0.42,0.93%,0.09,0.0,"1,585,658",263.0,11923.0
307,ZIL,ZIL Limited,341.98,341.98,-2.41,-0.70%,0.02,0.0,"1,256",6.0,2094.0
308,ZTL,Zephyr Textiles Limited,22.05,22.05,-1.42,-6.05%,0.01,0.0,"736,643",59.0,1310.0
